state,year,quater,total_amount,query,transacion_type,yearly_amount
andaman-&-nicobar-islands,2018,1.0,14631761.22198579,Query 1,,
andaman-&-nicobar-islands,2018,2.0,28338535.507953543,Query 1,,
andaman-&-nicobar-islands,2018,3.0,55557471.13431112,Query 1,,
andaman-&-nicobar-islands,2018,4.0,90548336.07445517,Query 1,,
andaman-&-nicobar-islands,2019,1.0,102299740.67348987,Query 1,,
andaman-&-nicobar-islands,2019,2.0,120254709.67566319,Query 1,,
andaman-&-nicobar-islands,2019,3.0,114071776.08729394,Query 1,,
andaman-&-nicobar-islands,2019,4.0,136838530.5173779,Query 1,,
andaman-&-nicobar-islands,2020,1.0,161476312.29727465,Query 1,,
andaman-&-nicobar-islands,2020,2.0,169645001.41414705,Query 1,,
andaman-&-nicobar-islands,2020,3.0,338019446.3303604,Query 1,,
andaman-&-nicobar-islands,2020,4.0,627282656.3148526,Query 1,,
andaman-&-nicobar-islands,2021,1.0,783706567.3897556,Query 1,,
andaman-&-nicobar-islands,2021,2.0,899147016.112296,Query 1,,
andaman-&-nicobar-islands,2021,3.0,1310024395.8016033,Query 1,,
andaman-&-nicobar-islands,2021,4.0,1932610101.323657,Query 1,,
andaman-&-nicobar-islands,2022,1.0,2129030202.075167,Query 1,,
andaman-&-nicobar-islands,2022,2.0,2685920350.0802655,Query 1,,
andaman-&-nicobar-islands,2022,3.0,3310631772.1373878,Query 1,,
andaman-&-nicobar-islands,2022,4.0,3984674404.4287863,Query 1,,
andaman-&-nicobar-islands,2023,1.0,4461528587.0,Query 1,,
andaman-&-nicobar-islands,2023,2.0,4990344236.0,Query 1,,
andaman-&-nicobar-islands,2023,3.0,5211596791.0,Query 1,,
andaman-&-nicobar-islands,2023,4.0,6269552499.0,Query 1,,
andaman-&-nicobar-islands,2024,1.0,6859151835.0,Query 1,,
andaman-&-nicobar-islands,2024,2.0,7295780330.0,Query 1,,
andaman-&-nicobar-islands,2024,3.0,7663845009.0,Query 1,,
andaman-&-nicobar-islands,2024,4.0,8920944773.0,Query 1,,
andhra-pradesh,2018,1.0,11996276391.823305,Query 1,,
andhra-pradesh,2018,2.0,22883914272.633064,Query 1,,
andhra-pradesh,2018,3.0,35718044599.214935,Query 1,,
andhra-pradesh,2018,4.0,51473779406.841,Query 1,,
andhra-pradesh,2019,1.0,83760595917.0764,Query 1,,
