device_brand,total_registered,total_opens,query,year,quarter,registered,opens,engagement_rate,state
Xiaomi,6920662452.0,184832815977.0,Query 1,,,,,,
Samsung,6920662452.0,184832815977.0,Query 1,,,,,,
Vivo,6920662452.0,184832815977.0,Query 1,,,,,,
Oppo,6920662452.0,184832815977.0,Query 1,,,,,,
Realme,6920662452.0,184832815977.0,Query 1,,,,,,
Others,6920662452.0,184832815977.0,Query 1,,,,,,
Motorola,6799638336.0,180946180766.0,Query 1,,,,,,
Huawei,6695888577.0,180841457068.0,Query 1,,,,,,
Apple,6551420312.0,177092057886.0,Query 1,,,,,,
OnePlus,6153628325.0,170342509732.0,Query 1,,,,,,
Lenovo,5283520244.0,121637397861.0,Query 1,,,,,,
Tecno,1595467211.0,62715327550.0,Query 1,,,,,,
Micromax,537834227.0,9734937478.0,Query 1,,,,,,
Infinix,355287519.0,9494116101.0,Query 1,,,,,,
Asus,252218289.0,3965320634.0,Query 1,,,,,,
Gionee,217450708.0,4182563578.0,Query 1,,,,,,
Lava,120949478.0,2306042775.0,Query 1,,,,,,
HMD Global,39932553.0,906168456.0,Query 1,,,,,,
Lyf,75980.0,0.0,Query 1,,,,,,
COOLPAD,501.0,0.0,Query 1,,,,,,
Apple,,,Query 2,2018.0,1.0,91095574.0,0.0,0.0,
Apple,,,Query 2,2018.0,2.0,121193375.0,0.0,0.0,
Apple,,,Query 2,2018.0,3.0,152257209.0,0.0,0.0,
Apple,,,Query 2,2018.0,4.0,193428001.0,0.0,0.0,
Apple,,,Query 2,2019.0,1.0,233652379.0,0.0,0.0,
Apple,,,Query 2,2019.0,2.0,268439954.0,1749049623.0,651.56,
Apple,,,Query 2,2019.0,3.0,301579843.0,6561236830.0,2175.62,
Apple,,,Query 2,2019.0,4.0,329001115.0,7973692801.0,2423.61,
Apple,,,Query 2,2020.0,1.0,364698697.0,8933862789.0,2449.66,
Apple,,,Query 2,2020.0,2.0,404020269.0,8099801248.0,2004.8,
Apple,,,Query 2,2020.0,3.0,445018503.0,10712174576.0,2407.13,
Apple,,,Query 2,2020.0,4.0,487875787.0,13989012019.0,2867.33,
Apple,,,Query 2,2021.0,1.0,529542209.0,16291030237.0,3076.44,
Apple,,,Query 2,2021.0,2.0,585179871.0,18512921886.0,3163.63,
Apple,,,Query 2,2021.0,3.0,629385589.0,23585728596.0,3747.42,
Apple,,,Query 2,2021.0,4.0,669731603.0,29254561947.0,4368.1,
Apple,,,Query 2,2022.0,1.0,745320334.0,31428985334.0,4216.84,
Asus,,,Query 2,2018.0,1.0,3065234.0,0.0,0.0,
Asus,,,Query 2,2018.0,2.0,4514828.0,0.0,0.0,
Asus,,,Query 2,2018.0,3.0,5790697.0,0.0,0.0,
Asus,,,Query 2,2018.0,4.0,7583760.0,0.0,0.0,
Asus,,,Query 2,2019.0,1.0,8969345.0,0.0,0.0,
Asus,,,Query 2,2019.0,2.0,10426154.0,58313676.0,559.3,
Asus,,,Query 2,2019.0,3.0,11821807.0,208393345.0,1762.79,
Asus,,,Query 2,2019.0,4.0,13331539.0,278011130.0,2085.36,
Asus,,,Query 2,2020.0,1.0,14714178.0,248274747.0,1687.32,
Asus,,,Query 2,2020.0,2.0,16431561.0,247401317.0,1505.65,
Asus,,,Query 2,2020.0,3.0,18054270.0,300386058.0,1663.8,
Asus,,,Query 2,2020.0,4.0,19624722.0,353825202.0,1802.96,
Asus,,,Query 2,2021.0,1.0,26404359.0,528438850.0,2001.33,
Asus,,,Query 2,2021.0,2.0,22590763.0,404868530.0,1792.19,
Asus,,,Query 2,2021.0,3.0,24317196.0,520157108.0,2139.05,
Asus,,,Query 2,2021.0,4.0,21799482.0,537590590.0,2466.07,
Asus,,,Query 2,2022.0,1.0,22778394.0,279660081.0,1227.74,
COOLPAD,,,Query 2,2018.0,1.0,501.0,0.0,0.0,
Gionee,,,Query 2,2018.0,1.0,7361183.0,0.0,0.0,
Gionee,,,Query 2,2018.0,2.0,10313499.0,0.0,0.0,
Gionee,,,Query 2,2018.0,3.0,13024232.0,0.0,0.0,
Gionee,,,Query 2,2018.0,4.0,7675438.0,0.0,0.0,
Gionee,,,Query 2,2019.0,1.0,9309081.0,0.0,0.0,
Gionee,,,Query 2,2019.0,2.0,11465782.0,75411395.0,657.71,
Gionee,,,Query 2,2019.0,3.0,15928654.0,338416625.0,2124.58,
Gionee,,,Query 2,2019.0,4.0,17823477.0,407914189.0,2288.63,
Gionee,,,Query 2,2020.0,1.0,18582054.0,457919108.0,2464.31,
Gionee,,,Query 2,2020.0,2.0,22124965.0,472399775.0,2135.14,
Gionee,,,Query 2,2020.0,3.0,20002255.0,510544734.0,2552.44,
Gionee,,,Query 2,2020.0,4.0,26773672.0,723157125.0,2701.0,
Gionee,,,Query 2,2021.0,1.0,23626921.0,728495680.0,3083.33,
Gionee,,,Query 2,2021.0,2.0,6418821.0,178532086.0,2781.38,
Gionee,,,Query 2,2021.0,3.0,5063926.0,178825140.0,3531.35,
Gionee,,,Query 2,2021.0,4.0,1229631.0,30436452.0,2475.25,
Gionee,,,Query 2,2022.0,1.0,727117.0,80511269.0,11072.67,
HMD Global,,,Query 2,2020.0,1.0,104631.0,1697163.0,1622.05,
HMD Global,,,Query 2,2020.0,2.0,456272.0,5363585.0,1175.52,
HMD Global,,,Query 2,2020.0,3.0,12260574.0,273697853.0,2232.34,
HMD Global,,,Query 2,2020.0,4.0,18587646.0,397204427.0,2136.93,
HMD Global,,,Query 2,2021.0,1.0,580211.0,10714864.0,1846.72,
HMD Global,,,Query 2,2021.0,2.0,955721.0,16544047.0,1731.05,
HMD Global,,,Query 2,2021.0,3.0,1026905.0,21837144.0,2126.5,
HMD Global,,,Query 2,2021.0,4.0,4797528.0,141709748.0,2953.81,
HMD Global,,,Query 2,2022.0,1.0,1163065.0,37399625.0,3215.61,
Huawei,,,Query 2,2018.0,1.0,75157891.0,0.0,0.0,
Huawei,,,Query 2,2018.0,2.0,103867190.0,0.0,0.0,
Huawei,,,Query 2,2018.0,3.0,145321219.0,0.0,0.0,
Huawei,,,Query 2,2018.0,4.0,195338476.0,0.0,0.0,
Huawei,,,Query 2,2019.0,1.0,237705127.0,0.0,0.0,
Huawei,,,Query 2,2019.0,2.0,273133395.0,1772699460.0,649.02,
Huawei,,,Query 2,2019.0,3.0,315030555.0,6836287888.0,2170.04,
Huawei,,,Query 2,2019.0,4.0,352573359.0,8528605798.0,2418.96,
Huawei,,,Query 2,2020.0,1.0,391728543.0,9467894762.0,2416.95,
Huawei,,,Query 2,2020.0,2.0,433220476.0,8628725233.0,1991.76,
Huawei,,,Query 2,2020.0,3.0,477025786.0,11371146077.0,2383.76,
Huawei,,,Query 2,2020.0,4.0,522693817.0,14788834609.0,2829.35,
Huawei,,,Query 2,2021.0,1.0,569969941.0,17270980653.0,3030.16,
Huawei,,,Query 2,2021.0,2.0,610343447.0,19256656800.0,3155.05,
Huawei,,,Query 2,2021.0,3.0,634371241.0,23850501033.0,3759.71,
Huawei,,,Query 2,2021.0,4.0,669410662.0,29252213144.0,4369.85,
Huawei,,,Query 2,2022.0,1.0,688997452.0,29816911611.0,4327.58,
Infinix,,,Query 2,2019.0,4.0,8342274.0,163998097.0,1965.87,
Infinix,,,Query 2,2020.0,1.0,9351234.0,183868505.0,1966.25,
Infinix,,,Query 2,2020.0,2.0,10603767.0,218435035.0,2059.98,
Infinix,,,Query 2,2020.0,3.0,11763213.0,266652644.0,2266.84,
Infinix,,,Query 2,2020.0,4.0,12889833.0,317056600.0,2459.74,
Infinix,,,Query 2,2021.0,1.0,13946288.0,355792608.0,2551.16,
Infinix,,,Query 2,2021.0,2.0,46624028.0,1044797524.0,2240.9,
Infinix,,,Query 2,2021.0,3.0,55890611.0,1509340305.0,2700.53,
Infinix,,,Query 2,2021.0,4.0,87418793.0,2893765855.0,3310.23,
Infinix,,,Query 2,2022.0,1.0,98457478.0,2540408928.0,2580.21,
Lava,,,Query 2,2018.0,4.0,526343.0,0.0,0.0,
Lava,,,Query 2,2019.0,1.0,653205.0,0.0,0.0,
Lava,,,Query 2,2019.0,2.0,772603.0,3321711.0,429.94,
Lava,,,Query 2,2019.0,3.0,876184.0,10720741.0,1223.57,
Lava,,,Query 2,2019.0,4.0,985945.0,12637904.0,1281.81,
Lava,,,Query 2,2020.0,1.0,21242281.0,388922187.0,1830.89,
Lava,,,Query 2,2020.0,2.0,23748386.0,399829114.0,1683.61,
Lava,,,Query 2,2020.0,3.0,26216750.0,469196258.0,1789.68,
Lava,,,Query 2,2020.0,4.0,28757900.0,574221946.0,1996.75,
Lava,,,Query 2,2021.0,1.0,1622951.0,24228094.0,1492.84,
Lava,,,Query 2,2021.0,2.0,5219344.0,131150894.0,2512.79,
Lava,,,Query 2,2021.0,3.0,5624064.0,156135964.0,2776.21,
Lava,,,Query 2,2021.0,4.0,2560039.0,58399684.0,2281.2,
Lava,,,Query 2,2022.0,1.0,2143483.0,77278278.0,3605.27,
Lenovo,,,Query 2,2018.0,1.0,93747426.0,0.0,0.0,
Lenovo,,,Query 2,2018.0,2.0,127285898.0,0.0,0.0,
Lenovo,,,Query 2,2018.0,3.0,154769651.0,0.0,0.0,
Lenovo,,,Query 2,2018.0,4.0,198145573.0,0.0,0.0,
Lenovo,,,Query 2,2019.0,1.0,239052056.0,0.0,0.0,
Lenovo,,,Query 2,2019.0,2.0,273934761.0,1774078377.0,647.63,
Lenovo,,,Query 2,2019.0,3.0,299363107.0,6450057288.0,2154.59,
Lenovo,,,Query 2,2019.0,4.0,335056767.0,8056730375.0,2404.59,
Lenovo,,,Query 2,2020.0,1.0,371440795.0,8914011694.0,2399.85,
Lenovo,,,Query 2,2020.0,2.0,410968556.0,8103517631.0,1971.81,
Lenovo,,,Query 2,2020.0,3.0,452458513.0,10683617088.0,2361.24,
Lenovo,,,Query 2,2020.0,4.0,488141348.0,13843156259.0,2835.89,
Lenovo,,,Query 2,2021.0,1.0,518228941.0,15786352899.0,3046.21,
Lenovo,,,Query 2,2021.0,2.0,511950813.0,15979039668.0,3121.21,
Lenovo,,,Query 2,2021.0,3.0,494799294.0,18498140868.0,3738.51,
Lenovo,,,Query 2,2021.0,4.0,152472101.0,7280803388.0,4775.17,
Lenovo,,,Query 2,2022.0,1.0,161704644.0,6267892326.0,3876.14,
Lyf,,,Query 2,2018.0,1.0,29925.0,0.0,0.0,
Lyf,,,Query 2,2018.0,2.0,46055.0,0.0,0.0,
Micromax,,,Query 2,2018.0,1.0,17116523.0,0.0,0.0,
Micromax,,,Query 2,2018.0,2.0,23757835.0,0.0,0.0,
Micromax,,,Query 2,2018.0,3.0,28578424.0,0.0,0.0,
Micromax,,,Query 2,2018.0,4.0,36059115.0,0.0,0.0,
Micromax,,,Query 2,2019.0,1.0,41474523.0,0.0,0.0,
Micromax,,,Query 2,2019.0,2.0,33209998.0,206525460.0,621.88,
Micromax,,,Query 2,2019.0,3.0,34235453.0,687437032.0,2007.97,
Micromax,,,Query 2,2019.0,4.0,38592283.0,911093635.0,2360.82,
Micromax,,,Query 2,2020.0,1.0,42652685.0,913951464.0,2142.78,
Micromax,,,Query 2,2020.0,2.0,47376468.0,914420679.0,1930.12,
Micromax,,,Query 2,2020.0,3.0,44903239.0,986905807.0,2197.85,
Micromax,,,Query 2,2020.0,4.0,46663037.0,1157513199.0,2480.58,
Micromax,,,Query 2,2021.0,1.0,48596585.0,1290498995.0,2655.53,
Micromax,,,Query 2,2021.0,2.0,15157107.0,587368907.0,3875.2,
Micromax,,,Query 2,2021.0,3.0,16323436.0,787980727.0,4827.3,
Micromax,,,Query 2,2021.0,4.0,16964716.0,819104029.0,4828.28,
Micromax,,,Query 2,2022.0,1.0,6172800.0,472137544.0,7648.68,
Motorola,,,Query 2,2018.0,1.0,93755019.0,0.0,0.0,
Motorola,,,Query 2,2018.0,2.0,127295634.0,0.0,0.0,
Motorola,,,Query 2,2018.0,3.0,159988533.0,0.0,0.0,
Motorola,,,Query 2,2018.0,4.0,204480679.0,0.0,0.0,
Motorola,,,Query 2,2019.0,1.0,246810976.0,0.0,0.0,
Motorola,,,Query 2,2019.0,2.0,283548989.0,1840460825.0,649.08,
Motorola,,,Query 2,2019.0,3.0,318507176.0,6895477939.0,2164.94,
Motorola,,,Query 2,2019.0,4.0,356464378.0,8600678935.0,2412.77,
Motorola,,,Query 2,2020.0,1.0,394995981.0,9535550046.0,2414.09,
Motorola,,,Query 2,2020.0,2.0,424242942.0,8382456764.0,1975.86,
Motorola,,,Query 2,2020.0,3.0,467127746.0,11038156526.0,2362.98,
Motorola,,,Query 2,2020.0,4.0,511941314.0,14408181482.0,2814.42,
Motorola,,,Query 2,2021.0,1.0,552015295.0,16634271799.0,3013.37,
Motorola,,,Query 2,2021.0,2.0,610199298.0,19250466432.0,3154.78,
Motorola,,,Query 2,2021.0,3.0,656366335.0,24498641116.0,3732.46,
Motorola,,,Query 2,2021.0,4.0,696387781.0,30084747896.0,4320.11,
Motorola,,,Query 2,2022.0,1.0,695510260.0,29777091006.0,4281.33,
OnePlus,,,Query 2,2018.0,1.0,87448324.0,0.0,0.0,
OnePlus,,,Query 2,2018.0,2.0,118207286.0,0.0,0.0,
OnePlus,,,Query 2,2018.0,3.0,140377740.0,0.0,0.0,
OnePlus,,,Query 2,2018.0,4.0,179380995.0,0.0,0.0,
OnePlus,,,Query 2,2019.0,1.0,216697743.0,0.0,0.0,
OnePlus,,,Query 2,2019.0,2.0,263147764.0,1724256083.0,655.24,
OnePlus,,,Query 2,2019.0,3.0,295593486.0,6495582117.0,2197.47,
OnePlus,,,Query 2,2019.0,4.0,330616373.0,8077304566.0,2443.1,
OnePlus,,,Query 2,2020.0,1.0,346237036.0,8643443780.0,2496.39,
OnePlus,,,Query 2,2020.0,2.0,383202747.0,7773991098.0,2028.69,
OnePlus,,,Query 2,2020.0,3.0,421892634.0,10344004024.0,2451.81,
OnePlus,,,Query 2,2020.0,4.0,448692118.0,13147325047.0,2930.14,
OnePlus,,,Query 2,2021.0,1.0,483439195.0,15234193253.0,3151.21,
OnePlus,,,Query 2,2021.0,2.0,533603300.0,17582979397.0,3295.14,
OnePlus,,,Query 2,2021.0,3.0,573775234.0,22481616920.0,3918.19,
OnePlus,,,Query 2,2021.0,4.0,626676944.0,27986156830.0,4465.8,
OnePlus,,,Query 2,2022.0,1.0,704639406.0,30851656617.0,4378.36,
Oppo,,,Query 2,2018.0,1.0,93755520.0,0.0,0.0,
