state,total_transactions,total_amount,query,year,quarter,yearly_transactions,yearly_amount,total_insurance_value
,14515964.0,20015919819.0,Query 1,,,,,
karnataka,1957404.0,2743154847.0,Query 1,,,,,
maharashtra,1815539.0,2363128536.0,Query 1,,,,,
uttar-pradesh,1139153.0,1740346495.0,Query 1,,,,,
tamil-nadu,1215269.0,1555507253.0,Query 1,,,,,
kerala,824235.0,1313718507.0,Query 1,,,,,
telangana,894342.0,1171059515.0,Query 1,,,,,
west-bengal,839715.0,1052463239.0,Query 1,,,,,
rajasthan,639684.0,959653860.0,Query 1,,,,,
haryana,573738.0,830981227.0,Query 1,,,,,
delhi,652514.0,815365172.0,Query 1,,,,,
andhra-pradesh,697769.0,812222985.0,Query 1,,,,,
gujarat,562595.0,729233441.0,Query 1,,,,,
madhya-pradesh,487180.0,711153467.0,Query 1,,,,,
bihar,536592.0,671056815.0,Query 1,,,,,
odisha,318769.0,416559238.0,Query 1,,,,,
assam,262818.0,411831038.0,Query 1,,,,,
jharkhand,260827.0,348671355.0,Query 1,,,,,
punjab,180011.0,313085772.0,Query 1,,,,,
chhattisgarh,189517.0,274344886.0,Query 1,,,,,
uttarakhand,124374.0,200706613.0,Query 1,,,,,
jammu-&-kashmir,78375.0,153923112.0,Query 1,,,,,
himachal-pradesh,61790.0,117289072.0,Query 1,,,,,
goa,59872.0,83730005.0,Query 1,,,,,
puducherry,27940.0,37120853.0,Query 1,,,,,
tripura,25192.0,33742456.0,Query 1,,,,,
chandigarh,22079.0,33285885.0,Query 1,,,,,
arunachal-pradesh,10214.0,23420755.0,Query 1,,,,,
meghalaya,10461.0,20357362.0,Query 1,,,,,
andaman-&-nicobar-islands,12997.0,19386792.0,Query 1,,,,,
dadra-&-nagar-haveli-&-daman-&-diu,13792.0,17992414.0,Query 1,,,,,
sikkim,4896.0,10883384.0,Query 1,,,,,
nagaland,4745.0,9156617.0,Query 1,,,,,
ladakh,3338.0,7808333.0,Query 1,,,,,
manipur,3731.0,7150454.0,Query 1,,,,,
mizoram,3724.0,5462592.0,Query 1,,,,,
lakshadweep,496.0,624037.0,Query 1,,,,,
,370696.0,67464332.0,Query 2,2020.0,2.0,,,
,708568.0,178990152.0,Query 2,2020.0,3.0,,,
,497252.0,341959866.0,Query 2,2020.0,4.0,,,
,636234.0,412602726.0,Query 2,2021.0,1.0,,,
,727977.0,590132100.0,Query 2,2021.0,2.0,,,
,749727.0,684792181.0,Query 2,2021.0,3.0,,,
,1052646.0,1310851962.0,Query 2,2021.0,4.0,,,
,1235181.0,1774861014.0,Query 2,2022.0,1.0,,,
,1261502.0,1714047690.0,Query 2,2022.0,2.0,,,
,1612945.0,2109390759.0,Query 2,2022.0,3.0,,,
,2070707.0,2879506663.0,Query 2,2022.0,4.0,,,
,1846320.0,2817577949.0,Query 2,2023.0,1.0,,,
,1787659.0,2694752394.0,Query 2,2023.0,2.0,,,
,2020403.0,2890444097.0,Query 2,2023.0,3.0,,,
,2318102.0,3710567161.0,Query 2,2023.0,4.0,,,
,2547550.0,3863878125.0,Query 2,2024.0,1.0,,,
,2210066.0,3519235178.0,Query 2,2024.0,2.0,,,
,2427258.0,3882531282.0,Query 2,2024.0,3.0,,,
,2950858.0,4587912572.0,Query 2,2024.0,4.0,,,
,,,Query 3,2020.0,,788258.0,294207175.0,
maharashtra,,,Query 3,2020.0,,156296.0,53223687.0,
karnataka,,,Query 3,2020.0,,112806.0,44016512.0,
andhra-pradesh,,,Query 3,2020.0,,93380.0,29394504.0,
telangana,,,Query 3,2020.0,,74359.0,23165095.0,
uttar-pradesh,,,Query 3,2020.0,,45485.0,20529652.0,
tamil-nadu,,,Query 3,2020.0,,23789.0,12326500.0,
delhi,,,Query 3,2020.0,,29029.0,11870207.0,
west-bengal,,,Query 3,2020.0,,30448.0,11821701.0,
rajasthan,,,Query 3,2020.0,,33117.0,11326033.0,
gujarat,,,Query 3,2020.0,,30212.0,10821440.0,
bihar,,,Query 3,2020.0,,22462.0,10617655.0,
madhya-pradesh,,,Query 3,2020.0,,31412.0,9591951.0,
haryana,,,Query 3,2020.0,,21743.0,9038960.0,
kerala,,,Query 3,2020.0,,15878.0,7636102.0,
odisha,,,Query 3,2020.0,,21462.0,7464085.0,
jharkhand,,,Query 3,2020.0,,11090.0,4611989.0,
chhattisgarh,,,Query 3,2020.0,,9805.0,3922562.0,
punjab,,,Query 3,2020.0,,6975.0,2968496.0,
assam,,,Query 3,2020.0,,5597.0,2616285.0,
uttarakhand,,,Query 3,2020.0,,3819.0,2515333.0,
goa,,,Query 3,2020.0,,1638.0,950328.0,
jammu-&-kashmir,,,Query 3,2020.0,,1294.0,916684.0,
himachal-pradesh,,,Query 3,2020.0,,1633.0,874461.0,
dadra-&-nagar-haveli-&-daman-&-diu,,,Query 3,2020.0,,1140.0,316046.0,
puducherry,,,Query 3,2020.0,,537.0,278605.0,
chandigarh,,,Query 3,2020.0,,613.0,253847.0,
tripura,,,Query 3,2020.0,,581.0,233461.0,
andaman-&-nicobar-islands,,,Query 3,2020.0,,171.0,174715.0,
mizoram,,,Query 3,2020.0,,186.0,151137.0,
arunachal-pradesh,,,Query 3,2020.0,,325.0,138263.0,
meghalaya,,,Query 3,2020.0,,245.0,113473.0,
manipur,,,Query 3,2020.0,,279.0,106775.0,
sikkim,,,Query 3,2020.0,,182.0,103003.0,
nagaland,,,Query 3,2020.0,,192.0,69425.0,
ladakh,,,Query 3,2020.0,,74.0,47004.0,
lakshadweep,,,Query 3,2020.0,,4.0,1199.0,
,,,Query 3,2021.0,,1583302.0,1499208931.0,
maharashtra,,,Query 3,2021.0,,260864.0,214476390.0,
karnataka,,,Query 3,2021.0,,200468.0,208485985.0,
uttar-pradesh,,,Query 3,2021.0,,126986.0,135461213.0,
telangana,,,Query 3,2021.0,,119096.0,95517307.0,
tamil-nadu,,,Query 3,2021.0,,88232.0,93212401.0,
andhra-pradesh,,,Query 3,2021.0,,103808.0,87005234.0,
west-bengal,,,Query 3,2021.0,,81847.0,76275279.0,
delhi,,,Query 3,2021.0,,77044.0,72081600.0,
bihar,,,Query 3,2021.0,,67341.0,67646954.0,
rajasthan,,,Query 3,2021.0,,72099.0,59680794.0,
kerala,,,Query 3,2021.0,,45386.0,59233059.0,
haryana,,,Query 3,2021.0,,57206.0,57672069.0,
gujarat,,,Query 3,2021.0,,61839.0,53176926.0,
madhya-pradesh,,,Query 3,2021.0,,56289.0,40686008.0,
odisha,,,Query 3,2021.0,,33238.0,27166566.0,
jharkhand,,,Query 3,2021.0,,25318.0,26595552.0,
assam,,,Query 3,2021.0,,19549.0,25315474.0,
punjab,,,Query 3,2021.0,,19355.0,21511686.0,
uttarakhand,,,Query 3,2021.0,,14989.0,18480635.0,
chhattisgarh,,,Query 3,2021.0,,20472.0,18231761.0,
jammu-&-kashmir,,,Query 3,2021.0,,6867.0,10740827.0,
himachal-pradesh,,,Query 3,2021.0,,6507.0,9421036.0,
goa,,,Query 3,2021.0,,5196.0,5979025.0,
puducherry,,,Query 3,2021.0,,2245.0,2363153.0,
tripura,,,Query 3,2021.0,,1937.0,2273934.0,
chandigarh,,,Query 3,2021.0,,1920.0,1854966.0,
andaman-&-nicobar-islands,,,Query 3,2021.0,,1349.0,1787385.0,
arunachal-pradesh,,,Query 3,2021.0,,930.0,1326049.0,
dadra-&-nagar-haveli-&-daman-&-diu,,,Query 3,2021.0,,1616.0,1260309.0,
meghalaya,,,Query 3,2021.0,,648.0,943376.0,
sikkim,,,Query 3,2021.0,,516.0,877925.0,
mizoram,,,Query 3,2021.0,,783.0,687134.0,
nagaland,,,Query 3,2021.0,,438.0,647519.0,
manipur,,,Query 3,2021.0,,519.0,558391.0,
ladakh,,,Query 3,2021.0,,346.0,490799.0,
lakshadweep,,,Query 3,2021.0,,39.0,45317.0,
,,,Query 3,2022.0,,3090219.0,4238962695.0,
karnataka,,,Query 3,2022.0,,433269.0,583631283.0,
maharashtra,,,Query 3,2022.0,,385808.0,510766718.0,
uttar-pradesh,,,Query 3,2022.0,,242665.0,354909247.0,
tamil-nadu,,,Query 3,2022.0,,284182.0,353009475.0,
kerala,,,Query 3,2022.0,,192927.0,313466314.0,
telangana,,,Query 3,2022.0,,198045.0,263341225.0,
west-bengal,,,Query 3,2022.0,,174451.0,222456288.0,
andhra-pradesh,,,Query 3,2022.0,,145769.0,191191399.0,
