state,total_transactions,total_amount,query,year,yearly_transactions,yearly_amount,recent_amount
telangana,26174684592.0,41655955630076.31,Query 1,,,,
karnataka,30970946279.0,40678721773666.375,Query 1,,,,
maharashtra,31985208732.0,40374195687971.67,Query 1,,,,
andhra-pradesh,18918696723.0,34669080454846.836,Query 1,,,,
uttar-pradesh,18523603727.0,26885212184899.867,Query 1,,,,
rajasthan,17108537898.0,26343235566259.24,Query 1,,,,
madhya-pradesh,14072176059.0,19125279433026.816,Query 1,,,,
bihar,10941026824.0,17901349344779.723,Query 1,,,,
west-bengal,9191499687.0,15584164309413.684,Query 1,,,,
odisha,8918527452.0,12263982051532.62,Query 1,,,,
tamil-nadu,7796386037.0,11936219022648.531,Query 1,,,,
delhi,8495316647.0,11637520248963.953,Query 1,,,,
gujarat,6726865334.0,10192905823125.367,Query 1,,,,
haryana,6744901124.0,9645036562815.904,Query 1,,,,
jharkhand,4266420959.0,5906646115660.92,Query 1,,,,
chhattisgarh,3733643831.0,4890472317487.816,Query 1,,,,
assam,2262440836.0,3460792155997.8906,Query 1,,,,
kerala,2300897800.0,3076269164129.138,Query 1,,,,
punjab,1772412497.0,2983077809927.293,Query 1,,,,
uttarakhand,1458837297.0,1916488572014.317,Query 1,,,,
jammu-&-kashmir,820602735.0,1184683177572.731,Query 1,,,,
himachal-pradesh,500810554.0,687537358746.4001,Query 1,,,,
goa,364944445.0,511021161407.30316,Query 1,,,,
chandigarh,203855326.0,292906588372.68616,Query 1,,,,
arunachal-pradesh,160223357.0,274434950651.68097,Query 1,,,,
puducherry,166605297.0,237317074404.26514,Query 1,,,,
dadra-&-nagar-haveli-&-daman-&-diu,201218415.0,201719857192.11563,Query 1,,,,
tripura,120838496.0,200583408419.46307,Query 1,,,,
manipur,73350340.0,186265635029.7436,Query 1,,,,
meghalaya,88635419.0,162543901207.48492,Query 1,,,,
nagaland,54768743.0,130358591755.69926,Query 1,,,,
sikkim,65860842.0,118945401940.84946,Query 1,,,,
