state,total_registered,total_app_opens,engagement_rate,query,year,quarter,users,opens
rajasthan,2372101468.0,100093362160.0,4219.61,Query 1,,,,
andhra-pradesh,2479563185.0,102445420418.0,4131.59,Query 1,,,,
telangana,2330985283.0,92639879035.0,3974.28,Query 1,,,,
arunachal-pradesh,30861270.0,1172571323.0,3799.49,Query 1,,,,
karnataka,3205100580.0,121505737078.0,3791.01,Query 1,,,,
madhya-pradesh,1987286906.0,71524173336.0,3599.09,Query 1,,,,
mizoram,10229549.0,353093059.0,3451.7,Query 1,,,,
ladakh,9246424.0,317989606.0,3439.05,Query 1,,,,
chhattisgarh,595506054.0,19289157437.0,3239.12,Query 1,,,,
odisha,1260386677.0,38536362216.0,3057.5,Query 1,,,,
meghalaya,23712084.0,684106731.0,2885.06,Query 1,,,,
nagaland,24405227.0,677649346.0,2776.66,Query 1,,,,
,38063709860.0,1016582726808.0,2670.74,Query 1,,,,
maharashtra,4972825121.0,130902916881.0,2632.37,Query 1,,,,
jharkhand,709961956.0,18582919839.0,2617.45,Query 1,,,,
assam,434295521.0,10221542419.0,2353.59,Query 1,,,,
andaman-&-nicobar-islands,6857906.0,161003601.0,2347.71,Query 1,,,,
sikkim,20580065.0,467816008.0,2273.15,Query 1,,,,
bihar,1839927870.0,37722567135.0,2050.22,Query 1,,,,
haryana,1340601702.0,27171892935.0,2026.84,Query 1,,,,
uttarakhand,375772100.0,7395508890.0,1968.08,Query 1,,,,
goa,75290424.0,1470646166.0,1953.3,Query 1,,,,
manipur,38270419.0,741405544.0,1937.28,Query 1,,,,
tamil-nadu,2130315308.0,39578469623.0,1857.87,Query 1,,,,
uttar-pradesh,3915665963.0,72178186487.0,1843.32,Query 1,,,,
himachal-pradesh,213530196.0,3776042127.0,1768.39,Query 1,,,,
jammu-&-kashmir,155346708.0,2701659246.0,1739.12,Query 1,,,,
dadra-&-nagar-haveli-&-daman-&-diu,42861709.0,720764308.0,1681.6,Query 1,,,,
gujarat,1988044388.0,32833356204.0,1651.54,Query 1,,,,
delhi,1470469429.0,24283682984.0,1651.42,Query 1,,,,
tripura,58299120.0,946642158.0,1623.77,Query 1,,,,
puducherry,44582879.0,682759682.0,1531.44,Query 1,,,,
west-bengal,2267427525.0,34139202185.0,1505.64,Query 1,,,,
punjab,730723972.0,9517363669.0,1302.46,Query 1,,,,
kerala,843288336.0,10436263288.0,1237.57,Query 1,,,,
chandigarh,58691270.0,701611790.0,1195.43,Query 1,,,,
lakshadweep,562518.0,4524025.0,804.25,Query 1,,,,
,,,0.0,Query 2,2018.0,1.0,515656537.0,0.0
,,,0.0,Query 2,2018.0,2.0,700131421.0,0.0
,,,0.0,Query 2,2018.0,3.0,880120472.0,0.0
,,,0.0,Query 2,2018.0,4.0,1124882605.0,0.0
,,,0.0,Query 2,2019.0,1.0,1357759689.0,0.0
,,,649.06,Query 2,2019.0,2.0,1559890486.0,10124551701.0
,,,2164.78,Query 2,2019.0,3.0,1752233274.0,37932027133.0
,,,2412.55,Query 2,2019.0,4.0,1961069935.0,47311791494.0
,,,2413.74,Query 2,2020.0,1.0,2173326804.0,52458391282.0
,,,1989.82,Query 2,2020.0,2.0,2408959586.0,47933976992.0
,,,2379.79,Query 2,2020.0,3.0,2652866513.0,63132591401.0
,,,2823.47,Query 2,2020.0,4.0,2906984223.0,82077854782.0
,,,3030.16,Query 2,2021.0,1.0,3134839730.0,94990593522.0
,,,3154.91,Query 2,2021.0,2.0,3357838946.0,105936826039.0
,,,3732.66,Query 2,2021.0,3.0,3611904153.0,134820156790.0
,,,4320.67,Query 2,2021.0,4.0,3862775345.0,166897819429.0
,,,4216.15,Query 2,2022.0,1.0,4102470141.0,172966146243.0
andaman-&-nicobar-islands,,,0.0,Query 2,2018.0,1.0,74140.0,0.0
andaman-&-nicobar-islands,,,0.0,Query 2,2018.0,2.0,103455.0,0.0
andaman-&-nicobar-islands,,,0.0,Query 2,2018.0,3.0,133639.0,0.0
andaman-&-nicobar-islands,,,0.0,Query 2,2018.0,4.0,167442.0,0.0
andaman-&-nicobar-islands,,,0.0,Query 2,2019.0,1.0,204556.0,0.0
andaman-&-nicobar-islands,,,242.23,Query 2,2019.0,2.0,239041.0,579040.0
andaman-&-nicobar-islands,,,715.0,Query 2,2019.0,3.0,263241.0,1882177.0
andaman-&-nicobar-islands,,,681.86,Query 2,2019.0,4.0,285560.0,1947132.0
andaman-&-nicobar-islands,,,682.41,Query 2,2020.0,1.0,312048.0,2129446.0
andaman-&-nicobar-islands,,,932.66,Query 2,2020.0,2.0,359810.0,3355792.0
andaman-&-nicobar-islands,,,1247.28,Query 2,2020.0,3.0,454685.0,5671215.0
andaman-&-nicobar-islands,,,1693.27,Query 2,2020.0,4.0,576356.0,9759288.0
andaman-&-nicobar-islands,,,1738.87,Query 2,2021.0,1.0,635338.0,11047696.0
andaman-&-nicobar-islands,,,3620.62,Query 2,2021.0,2.0,683045.0,24730453.0
andaman-&-nicobar-islands,,,4660.39,Query 2,2021.0,3.0,736802.0,34337875.0
andaman-&-nicobar-islands,,,2943.59,Query 2,2021.0,4.0,789580.0,23242010.0
andaman-&-nicobar-islands,,,5043.27,Query 2,2022.0,1.0,839168.0,42321477.0
andhra-pradesh,,,0.0,Query 2,2018.0,1.0,36700950.0,0.0
andhra-pradesh,,,0.0,Query 2,2018.0,2.0,48427940.0,0.0
andhra-pradesh,,,0.0,Query 2,2018.0,3.0,59703787.0,0.0
andhra-pradesh,,,0.0,Query 2,2018.0,4.0,75431499.0,0.0
andhra-pradesh,,,0.0,Query 2,2019.0,1.0,91113209.0,0.0
andhra-pradesh,,,866.71,Query 2,2019.0,2.0,103279033.0,895127761.0
andhra-pradesh,,,2973.16,Query 2,2019.0,3.0,115045623.0,3420488962.0
andhra-pradesh,,,3497.24,Query 2,2019.0,4.0,129336713.0,4523216698.0
andhra-pradesh,,,3736.07,Query 2,2020.0,1.0,143242660.0,5351651503.0
andhra-pradesh,,,3452.19,Query 2,2020.0,2.0,157516425.0,5437758678.0
andhra-pradesh,,,4437.18,Query 2,2020.0,3.0,172616455.0,7659304202.0
andhra-pradesh,,,5089.31,Query 2,2020.0,4.0,187842215.0,9559863918.0
andhra-pradesh,,,5215.22,Query 2,2021.0,1.0,202001063.0,10534803917.0
andhra-pradesh,,,5324.45,Query 2,2021.0,2.0,215829955.0,11491759796.0
andhra-pradesh,,,5975.99,Query 2,2021.0,3.0,231658878.0,13843905669.0
andhra-pradesh,,,6437.44,Query 2,2021.0,4.0,247379319.0,15924893611.0
andhra-pradesh,,,5259.4,Query 2,2022.0,1.0,262437461.0,13802645703.0
arunachal-pradesh,,,0.0,Query 2,2018.0,1.0,236445.0,0.0
arunachal-pradesh,,,0.0,Query 2,2018.0,2.0,361713.0,0.0
arunachal-pradesh,,,0.0,Query 2,2018.0,3.0,505142.0,0.0
arunachal-pradesh,,,0.0,Query 2,2018.0,4.0,680372.0,0.0
arunachal-pradesh,,,0.0,Query 2,2019.0,1.0,846527.0,0.0
arunachal-pradesh,,,524.45,Query 2,2019.0,2.0,1054735.0,5531603.0
arunachal-pradesh,,,1615.44,Query 2,2019.0,3.0,1233639.0,19928700.0
arunachal-pradesh,,,1655.06,Query 2,2019.0,4.0,1422531.0,23543740.0
arunachal-pradesh,,,1743.07,Query 2,2020.0,1.0,1639726.0,28581531.0
arunachal-pradesh,,,1907.81,Query 2,2020.0,2.0,1952874.0,37257066.0
arunachal-pradesh,,,1942.97,Query 2,2020.0,3.0,2266506.0,44037631.0
arunachal-pradesh,,,1933.78,Query 2,2020.0,4.0,2544212.0,49199337.0
arunachal-pradesh,,,1909.21,Query 2,2021.0,1.0,2763640.0,52763788.0
arunachal-pradesh,,,4814.19,Query 2,2021.0,2.0,2976292.0,143284339.0
arunachal-pradesh,,,5872.14,Query 2,2021.0,3.0,3223803.0,189306194.0
arunachal-pradesh,,,3565.81,Query 2,2021.0,4.0,3464384.0,123533245.0
arunachal-pradesh,,,12351.25,Query 2,2022.0,1.0,3688729.0,455604149.0
assam,,,0.0,Query 2,2018.0,1.0,4237607.0,0.0
assam,,,0.0,Query 2,2018.0,2.0,6281506.0,0.0
assam,,,0.0,Query 2,2018.0,3.0,8632822.0,0.0
assam,,,0.0,Query 2,2018.0,4.0,11431431.0,0.0
assam,,,0.0,Query 2,2019.0,1.0,13849935.0,0.0
assam,,,489.98,Query 2,2019.0,2.0,16501408.0,80853586.0
assam,,,1466.55,Query 2,2019.0,3.0,19046753.0,279330403.0
assam,,,1370.24,Query 2,2019.0,4.0,21353420.0,292593939.0
assam,,,1514.13,Query 2,2020.0,1.0,24045318.0,364076812.0
assam,,,1540.84,Query 2,2020.0,2.0,28059713.0,432354164.0
assam,,,1479.69,Query 2,2020.0,3.0,31130121.0,460628058.0
assam,,,1587.87,Query 2,2020.0,4.0,34167683.0,542539954.0
assam,,,1689.84,Query 2,2021.0,1.0,36942928.0,624276004.0
assam,,,2820.08,Query 2,2021.0,2.0,39787616.0,1122042790.0
assam,,,3452.58,Query 2,2021.0,3.0,43103280.0,1488174941.0
assam,,,3102.45,Query 2,2021.0,4.0,46305501.0,1436604785.0
assam,,,6269.05,Query 2,2022.0,1.0,49418479.0,3098066983.0
bihar,,,0.0,Query 2,2018.0,1.0,23471844.0,0.0
bihar,,,0.0,Query 2,2018.0,2.0,33064592.0,0.0
bihar,,,0.0,Query 2,2018.0,3.0,41629885.0,0.0
bihar,,,0.0,Query 2,2018.0,4.0,52543315.0,0.0
bihar,,,0.0,Query 2,2019.0,1.0,63196287.0,0.0
bihar,,,601.04,Query 2,2019.0,2.0,72487349.0,435677242.0
bihar,,,1714.32,Query 2,2019.0,3.0,81182915.0,1391734278.0
bihar,,,1965.87,Query 2,2019.0,4.0,91765014.0,1803979067.0
bihar,,,1966.25,Query 2,2020.0,1.0,102863574.0,2022553555.0
bihar,,,2059.98,Query 2,2020.0,2.0,116641437.0,2402785385.0
bihar,,,2266.84,Query 2,2020.0,3.0,129395343.0,2933179084.0
bihar,,,2459.74,Query 2,2020.0,4.0,141788163.0,3487622600.0
bihar,,,2551.16,Query 2,2021.0,1.0,153409168.0,3913718688.0
bihar,,,2479.26,Query 2,2021.0,2.0,164693474.0,4083185260.0
bihar,,,2610.03,Query 2,2021.0,3.0,177768481.0,4639815169.0
bihar,,,3734.43,Query 2,2021.0,4.0,190695791.0,7121409218.0
bihar,,,1714.89,Query 2,2022.0,1.0,203331238.0,3486907589.0
chandigarh,,,0.0,Query 2,2018.0,1.0,948948.0,0.0
chandigarh,,,0.0,Query 2,2018.0,2.0,1267409.0,0.0
chandigarh,,,0.0,Query 2,2018.0,3.0,1582823.0,0.0
chandigarh,,,0.0,Query 2,2018.0,4.0,1955217.0,0.0
chandigarh,,,0.0,Query 2,2019.0,1.0,2300925.0,0.0
chandigarh,,,507.48,Query 2,2019.0,2.0,2644829.0,13421936.0
chandigarh,,,1730.1,Query 2,2019.0,3.0,2940707.0,50877156.0
chandigarh,,,1712.92,Query 2,2019.0,4.0,3185490.0,54564851.0
chandigarh,,,1662.33,Query 2,2020.0,1.0,3441757.0,57213321.0
chandigarh,,,1026.09,Query 2,2020.0,2.0,3699861.0,37963750.0
chandigarh,,,1348.29,Query 2,2020.0,3.0,3988468.0,53776129.0
chandigarh,,,1655.07,Query 2,2020.0,4.0,4305422.0,71257714.0
chandigarh,,,1885.61,Query 2,2021.0,1.0,4619978.0,87114863.0
chandigarh,,,1055.33,Query 2,2021.0,2.0,4934292.0,52073164.0
chandigarh,,,1327.64,Query 2,2021.0,3.0,5285093.0,70166877.0
chandigarh,,,2265.99,Query 2,2021.0,4.0,5633012.0,127643494.0
chandigarh,,,428.71,Query 2,2022.0,1.0,5957039.0,25538535.0
chhattisgarh,,,0.0,Query 2,2018.0,1.0,7471893.0,0.0
chhattisgarh,,,0.0,Query 2,2018.0,2.0,10457425.0,0.0
chhattisgarh,,,0.0,Query 2,2018.0,3.0,13395712.0,0.0
chhattisgarh,,,0.0,Query 2,2018.0,4.0,17379978.0,0.0
chhattisgarh,,,0.0,Query 2,2019.0,1.0,20997878.0,0.0
chhattisgarh,,,602.74,Query 2,2019.0,2.0,24101726.0,145270103.0
chhattisgarh,,,1903.95,Query 2,2019.0,3.0,26785638.0,509985751.0
chhattisgarh,,,2101.29,Query 2,2019.0,4.0,29984900.0,630068747.0
chhattisgarh,,,2129.1,Query 2,2020.0,1.0,33181357.0,706465111.0
chhattisgarh,,,2013.53,Query 2,2020.0,2.0,37418238.0,753427224.0
chhattisgarh,,,2287.7,Query 2,2020.0,3.0,41793246.0,956104666.0
chhattisgarh,,,2622.55,Query 2,2020.0,4.0,46096611.0,1208905137.0
chhattisgarh,,,2761.04,Query 2,2021.0,1.0,49660061.0,1371135744.0
chhattisgarh,,,4254.34,Query 2,2021.0,2.0,53207605.0,2263631887.0
chhattisgarh,,,5310.83,Query 2,2021.0,3.0,57266924.0,3041346836.0
chhattisgarh,,,4523.46,Query 2,2021.0,4.0,61220291.0,2769278413.0
chhattisgarh,,,7579.96,Query 2,2022.0,1.0,65086571.0,4933537818.0
dadra-&-nagar-haveli-&-daman-&-diu,,,0.0,Query 2,2018.0,1.0,585838.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,,,0.0,Query 2,2018.0,2.0,786038.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,,,0.0,Query 2,2018.0,3.0,1013177.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,,,0.0,Query 2,2018.0,4.0,1281621.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,,,0.0,Query 2,2019.0,1.0,1545852.0,0.0
dadra-&-nagar-haveli-&-daman-&-diu,,,542.75,Query 2,2019.0,2.0,1744380.0,9467546.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1766.92,Query 2,2019.0,3.0,1946219.0,34388079.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1908.19,Query 2,2019.0,4.0,2173578.0,41475973.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1920.0,Query 2,2020.0,1.0,2403456.0,46146342.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1840.22,Query 2,2020.0,2.0,2692954.0,49556397.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1650.15,Query 2,2020.0,3.0,2947406.0,48636489.0
dadra-&-nagar-haveli-&-daman-&-diu,,,2089.91,Query 2,2020.0,4.0,3261423.0,68160796.0
dadra-&-nagar-haveli-&-daman-&-diu,,,2272.11,Query 2,2021.0,1.0,3535356.0,80327082.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1467.56,Query 2,2021.0,2.0,3794934.0,55692813.0
dadra-&-nagar-haveli-&-daman-&-diu,,,1926.12,Query 2,2021.0,3.0,4090614.0,78790074.0
dadra-&-nagar-haveli-&-daman-&-diu,,,3762.12,Query 2,2021.0,4.0,4388593.0,165104005.0
dadra-&-nagar-haveli-&-daman-&-diu,,,921.12,Query 2,2022.0,1.0,4670270.0,43018712.0
delhi,,,0.0,Query 2,2018.0,1.0,22957242.0,0.0
delhi,,,0.0,Query 2,2018.0,2.0,30317551.0,0.0
delhi,,,0.0,Query 2,2018.0,3.0,38554021.0,0.0
delhi,,,0.0,Query 2,2018.0,4.0,50933443.0,0.0
delhi,,,0.0,Query 2,2019.0,1.0,60491893.0,0.0
delhi,,,709.3,Query 2,2019.0,2.0,67819928.0,481047270.0
delhi,,,2408.94,Query 2,2019.0,3.0,74605146.0,1797191297.0
delhi,,,2368.8,Query 2,2019.0,4.0,80188713.0,1899509381.0
delhi,,,2277.79,Query 2,2020.0,1.0,86088167.0,1960903846.0
delhi,,,1702.42,Query 2,2020.0,2.0,92302529.0,1571374783.0
delhi,,,2101.08,Query 2,2020.0,3.0,99485914.0,2090275319.0
delhi,,,2497.28,Query 2,2020.0,4.0,107227648.0,2677771272.0
delhi,,,2686.5,Query 2,2021.0,1.0,115139310.0,3093217600.0
delhi,,,1475.47,Query 2,2021.0,2.0,123009689.0,1814975514.0
delhi,,,1868.47,Query 2,2021.0,3.0,131780671.0,2462288136.0
delhi,,,2703.68,Query 2,2021.0,4.0,140636397.0,3802362883.0
delhi,,,424.87,Query 2,2022.0,1.0,148931167.0,632765683.0
goa,,,0.0,Query 2,2018.0,1.0,1011296.0,0.0
goa,,,0.0,Query 2,2018.0,2.0,1343914.0,0.0
goa,,,0.0,Query 2,2018.0,3.0,1691822.0,0.0
goa,,,0.0,Query 2,2018.0,4.0,2148850.0,0.0
goa,,,0.0,Query 2,2019.0,1.0,2619672.0,0.0
goa,,,484.78,Query 2,2019.0,2.0,3068340.0,14874552.0
goa,,,1498.73,Query 2,2019.0,3.0,3489134.0,52292812.0
goa,,,1779.27,Query 2,2019.0,4.0,3889006.0,69195973.0
goa,,,1823.74,Query 2,2020.0,1.0,4310900.0,78619563.0
goa,,,1233.08,Query 2,2020.0,2.0,4737029.0,58411386.0
