entity_type,entity_name,total_insurance_transactions,total_insurance_value,query,year,quarter,total_transactions,total_amount,district
district,bengaluru urban,1117691.0,1491957727.0,Query 1,,,,,
district,pune,396173.0,534030810.0,Query 1,,,,,
district,thane,260578.0,304070981.0,Query 1,,,,,
district,rangareddy,206714.0,297358756.0,Query 1,,,,,
district,chennai,241918.0,266661066.0,Query 1,,,,,
district,mumbai suburban,193954.0,216907985.0,Query 1,,,,,
district,jaipur,121012.0,179521119.0,Query 1,,,,,
district,medchal malkajgiri,140386.0,177114175.0,Query 1,,,,,
district,gurugram,125921.0,170022448.0,Query 1,,,,,
district,north twenty four parganas,65177.0,92309378.0,Query 1,,,,,
district,thiruvallur,63339.0,75460591.0,Query 1,,,,,
district,hyderabad,78051.0,70802343.0,Query 1,,,,,
district,ernakulam,38440.0,62167938.0,Query 1,,,,,
district,ahmedabad,18268.0,25165090.0,Query 1,,,,,
district,ahmadabad,20607.0,24769464.0,Query 1,,,,,
district,coimbatore,12780.0,15595276.0,Query 1,,,,,
district,kolkata,15321.0,13816702.0,Query 1,,,,,
district,surat,13306.0,13249715.0,Query 1,,,,,
district,visakhapatnam,23535.0,10611121.0,Query 1,,,,,
district,nashik,13074.0,5738548.0,Query 1,,,,,
district,prakasam,5308.0,2719134.0,Query 1,,,,,
district,spsr nellore,5509.0,1259159.0,Query 1,,,,,
district,krishna,4519.0,1093882.0,Query 1,,,,,
district,aurangabad,2898.0,509460.0,Query 1,,,,,
district,anantapur,2739.0,485777.0,Query 1,,,,,
state,karnataka,1957404.0,2743154847.0,Query 1,,,,,
state,maharashtra,1815539.0,2363128536.0,Query 1,,,,,
state,uttar pradesh,1139153.0,1740346495.0,Query 1,,,,,
state,tamil nadu,1201770.0,1552174328.0,Query 1,,,,,
state,kerala,762971.0,1246849346.0,Query 1,,,,,
state,telangana,894342.0,1171059515.0,Query 1,,,,,
state,west bengal,839715.0,1052463239.0,Query 1,,,,,
state,delhi,621909.0,794551516.0,Query 1,,,,,
state,rajasthan,460736.0,697441424.0,Query 1,,,,,
state,andhra pradesh,421027.0,417356888.0,Query 1,,,,,
state,haryana,259177.0,388254456.0,Query 1,,,,,
state,bihar,203841.0,258418061.0,Query 1,,,,,
state,gujarat,121318.0,118944488.0,Query 1,,,,,
state,madhya pradesh,60642.0,24947269.0,Query 1,,,,,
state,odisha,10955.0,2640191.0,Query 1,,,,,
,,,,Query 2,2020.0,2.0,230385.0,40155428.0,
,,,,Query 2,2020.0,3.0,403674.0,98583193.0,
,,,,Query 2,2020.0,4.0,253137.0,170508987.0,
,,,,Query 2,2021.0,1.0,321545.0,206874881.0,
,,,,Query 2,2021.0,2.0,369474.0,283261966.0,
,,,,Query 2,2021.0,3.0,371230.0,328561036.0,
,,,,Query 2,2021.0,4.0,531795.0,624545612.0,
,,,,Query 2,2022.0,1.0,631602.0,865141851.0,
,,,,Query 2,2022.0,2.0,642677.0,833912172.0,
,,,,Query 2,2022.0,3.0,788101.0,1001594742.0,
,,,,Query 2,2022.0,4.0,1036886.0,1387127155.0,
,,,,Query 2,2023.0,1.0,930175.0,1350862010.0,
,,,,Query 2,2023.0,2.0,880929.0,1288892492.0,
,,,,Query 2,2023.0,3.0,987990.0,1356539950.0,
,,,,Query 2,2023.0,4.0,1129642.0,1762201917.0,
,,,,Query 2,2024.0,1.0,1198766.0,1805267352.0,
,,,,Query 2,2024.0,2.0,1031029.0,1636052462.0,
,,,,Query 2,2024.0,3.0,1177705.0,1870024594.0,
,,,,Query 2,2024.0,4.0,1384021.0,2145223101.0,
,,,,Query 3,,,2739.0,485777.0,anantapur
,,,,Query 3,,,2898.0,509460.0,aurangabad
,,,,Query 4,2020.0,2.0,230385.0,40155428.0,
,,,,Query 4,2020.0,3.0,403674.0,98583193.0,
,,,,Query 4,2020.0,4.0,253137.0,170508987.0,
,,,,Query 4,2021.0,1.0,321545.0,206874881.0,
,,,,Query 4,2021.0,2.0,369474.0,283261966.0,
,,,,Query 4,2021.0,3.0,371230.0,328561036.0,
,,,,Query 4,2021.0,4.0,531795.0,624545612.0,
,,,,Query 4,2022.0,1.0,631602.0,865141851.0,
,,,,Query 4,2022.0,2.0,642677.0,833912172.0,
,,,,Query 4,2022.0,3.0,788101.0,1001594742.0,
,,,,Query 4,2022.0,4.0,1036886.0,1387127155.0,
,,,,Query 4,2023.0,1.0,930175.0,1350862010.0,
,,,,Query 4,2023.0,2.0,880929.0,1288892492.0,
,,,,Query 4,2023.0,3.0,987990.0,1356539950.0,
,,,,Query 4,2023.0,4.0,1129642.0,1762201917.0,
,,,,Query 4,2024.0,1.0,1198766.0,1805267352.0,
,,,,Query 4,2024.0,2.0,1031029.0,1636052462.0,
,,,,Query 4,2024.0,3.0,1177705.0,1870024594.0,
,,,,Query 4,2024.0,4.0,1384021.0,2145223101.0,
