state,total_transactions,total_amount,query,district,pincode,entity_type,year,quarter
telangana,26174684592.0,41655955630076.336,Query 1,,,,,
karnataka,30970946279.0,40678721773666.266,Query 1,,,,,
maharashtra,31985208732.0,40374195687971.56,Query 1,,,,,
andhra pradesh,18918696723.0,34669080454846.742,Query 1,,,,,
uttar pradesh,18523603727.0,26885212184899.67,Query 1,,,,,
rajasthan,17073321077.0,26281285710504.523,Query 1,,,,,
madhya pradesh,14072176059.0,19125279433026.59,Query 1,,,,,
bihar,10507877047.0,16938486061955.36,Query 1,,,,,
west bengal,6844694140.0,10890643837268.303,Query 1,,,,,
odisha,6994632643.0,9047553308731.094,Query 1,,,,,
delhi,3274904754.0,5111844076155.95,Query 1,,,,,
tamil nadu,2515272328.0,4262743711616.179,Query 1,,,,,
,17108133846.0,19937841648191.414,Query 2,bengaluru urban,,,,
,7701373666.0,11906937011997.75,Query 2,hyderabad,,,,
,9369053544.0,9730217773958.355,Query 2,pune,,,,
,5396870406.0,7854091516464.189,Query 2,jaipur,,,,
,5031351142.0,7141838179732.567,Query 2,rangareddy,,,,
,3797657758.0,5263291374707.748,Query 2,medchal malkajgiri,,,,
,1627043727.0,2665652457381.1655,Query 2,visakhapatnam,,,,
,1271544166.0,1896758145113.7917,Query 2,central delhi,,,,
,1778807713.0,1649016761658.0,Query 2,gurugram,,,,
,913866207.0,1276153697975.382,Query 2,khordha,,,,
,1153744911.0,1240696452878.0,Query 2,thane,,,,
,873732738.0,1182185342270.121,Query 2,mumbai suburban,,,,
,794771833.0,1170040120264.2937,Query 2,bhopal,,,,
,1158308241.0,1060663965450.1818,Query 2,gautam buddha nagar,,,,
,936910491.0,993653019500.0,Query 2,indore,,,,
,472922544.0,792316059362.1528,Query 2,patna,,,,
,415078257.0,587067243459.5691,Query 2,chhindwara,,,,
,599893136.0,492018229608.0,Query 2,gautambuddha nagar,,,,
,87049558.0,147772629182.57657,Query 2,new delhi,,,,
,61429661.0,80553064050.26099,Query 2,kolkata,,,,
,31913314.0,55152181575.49315,Query 2,chennai,,,,
,16430916.0,32731896547.150326,Query 2,ahmadabad,,,,
,12624404.0,22426462674.94428,Query 2,lucknow,,,,
,12008925.0,21477775747.165543,Query 2,mumbai,,,,
,10967543.0,12640044555.73712,Query 2,birbhum,,,,
,6975778.0,7055282026.244056,Query 2,north twenty four parganas,,,,
,5179457.0,2464193070.534754,Query 2,bankura,,,,
,1799788151.0,2777747040659.3906,Query 3,,500034,,,
,1465061015.0,2092537507643.4253,Query 3,,560001,,,
,1426126359.0,2838391727026.0825,Query 3,,500001,,,
,1201469146.0,1748158114635.3296,Query 3,,411004,,,
,1125524343.0,1656009554927.475,Query 3,,110006,,,
,829118442.0,1480772682201.0676,Query 3,,302016,,,
,693721377.0,1260510352213.5942,Query 3,,800001,,,
,585404133.0,885092670027.6683,Query 3,,751001,,,
,576676656.0,729487550106.0,Query 3,,500072,,,
,572952599.0,892547126923.0088,Query 3,,462008,,,
,31310536.0,46477751099.98497,Query 4,,,district,2018.0,1.0
,41393983.0,74104670094.86775,Query 4,,,district,2018.0,2.0
,72525255.0,101968797480.15298,Query 4,,,district,2018.0,3.0
