entity_type,entity_name,total_insurance_transactions,total_insurance_value,district
district,bengaluru urban,1117691.0,1491957727.0,
district,pune,396173.0,534030810.0,
district,thane,260578.0,304070981.0,
district,rangareddy,206714.0,297358756.0,
district,chennai,241918.0,266661066.0,
district,mumbai suburban,193954.0,216907985.0,
district,jaipur,121012.0,179521119.0,
district,medchal malkajgiri,140386.0,177114175.0,
district,gurugram,125921.0,170022448.0,
district,north twenty four parganas,65177.0,92309378.0,
district,thiruvallur,63339.0,75460591.0,
district,hyderabad,78051.0,70802343.0,
district,ernakulam,38440.0,62167938.0,
district,ahmedabad,18268.0,25165090.0,
district,ahmadabad,20607.0,24769464.0,
district,coimbatore,12780.0,15595276.0,
district,kolkata,15321.0,13816702.0,
district,surat,13306.0,13249715.0,
district,visakhapatnam,23535.0,10611121.0,
district,nashik,13074.0,5738548.0,
district,prakasam,5308.0,2719134.0,
district,spsr nellore,5509.0,1259159.0,
district,krishna,4519.0,1093882.0,
district,aurangabad,2898.0,509460.0,
district,anantapur,2739.0,485777.0,
state,karnataka,1957404.0,2743154847.0,
state,maharashtra,1815539.0,2363128536.0,
state,uttar pradesh,1139153.0,1740346495.0,
state,tamil nadu,1201770.0,1552174328.0,
state,kerala,762971.0,1246849346.0,
state,telangana,894342.0,1171059515.0,
state,west bengal,839715.0,1052463239.0,
state,delhi,621909.0,794551516.0,
state,rajasthan,460736.0,697441424.0,
state,andhra pradesh,421027.0,417356888.0,
state,haryana,259177.0,388254456.0,
state,bihar,203841.0,258418061.0,
state,gujarat,121318.0,118944488.0,
state,madhya pradesh,60642.0,24947269.0,
state,odisha,10955.0,2640191.0,
