year,quarter,total_transactions,total_amount
2020.0,2.0,230385.0,40155428.0
2020.0,3.0,403674.0,98583193.0
2020.0,4.0,253137.0,170508987.0
2021.0,1.0,321545.0,206874881.0
2021.0,2.0,369474.0,283261966.0
2021.0,3.0,371230.0,328561036.0
2021.0,4.0,531795.0,624545612.0
2022.0,1.0,631602.0,865141851.0
2022.0,2.0,642677.0,833912172.0
2022.0,3.0,788101.0,1001594742.0
2022.0,4.0,1036886.0,1387127155.0
2023.0,1.0,930175.0,1350862010.0
2023.0,2.0,880929.0,1288892492.0
2023.0,3.0,987990.0,1356539950.0
2023.0,4.0,1129642.0,1762201917.0
2024.0,1.0,1198766.0,1805267352.0
2024.0,2.0,1031029.0,1636052462.0
2024.0,3.0,1177705.0,1870024594.0
2024.0,4.0,1384021.0,2145223101.0
