state,total_transactions
Maharashtra,31985208732
Karnataka,30970946279
Telangana,26174684592
Andhra Pradesh,18918696723
Uttar Pradesh,18523603727
Rajasthan,17108537898
Madhya Pradesh,14072176059
Bihar,10941026824
West Bengal,9191499687
Odisha,8918527452
Delhi,8495316647
Tamil Nadu,7796386037
Haryana,6744901124
Gujarat,6726865334
Jharkhand,4266420959
Chhattisgarh,3733643831
Kerala,2300897800
Assam,2262440836
Punjab,1772412497
Uttarakhand,1458837297
Jammu & Kashmir,820602735
Himachal Pradesh,500810554
Goa,364944445
Chandigarh,203855326
Dadra & Nagar Haveli,201218415
Daman & Diu,201218415
Puducherry,166605297
Arunachal Pradesh,160223357
Tripura,120838496
Meghalaya,88635419
Manipur,73350340
Sikkim,65860842
Nagaland,54768743
Andaman & Nicobar Islands,39706951
Ladakh,39345875
Mizoram,19535750
Lakshadweep,883994
